Circle,Monument,Domestic201617,Foreign201617,Domestic201718,Foreign201718
Sarnath ,"Lord Cornwallis Tomb, Ghazipur",631115,86657,18950,54
Sarnath ,Observatory Man Singh (Man Mahal) Varanasi,22309,89,36905,299
Shimla Mini ,Kangra Fort,152747,3742,196937,4402
Shimla Mini ,Masrur,34614,1306,55082,1701
Srinagar ,Avantiswamin Temple Avantipur Distt. Pulwama,24035,50,18650,15049
Srinagar ,"Palace complex at Ram Nagar, Distt. Udhampur",5732,0,8482,2
Srinagar ,Group of Temples atKiramchi Distt. Udhampur,5266,2,19165,3
Thrissur ,"Bekal Fort Pallikkare, Distt. Kasargode",357758,773,460278,1201
Thrissur ,Mattancherry Palace Museum Kochi,358540,117745,474675,121341
Vadodara ,Sun Temple Modhera,332237,3339,293019,5062
Vadodara ,Rani-ki-Vav Patan,299893,3586,427305,5836
Vadodara ,Jama Masjid Saherki Masjid Champaner- Pavagadh,143888,1981,112384,3333
Vadodara ,Buddhist Caves Junagadh,30122,795,40918,1241
Vadodara ,"BabaPyara & Khapra Kodiya Caves, Junagarh",343,630,64,0
Vadodara ,Ashokan Rock Edicts,0,0,0,0
